悪衣悪食, あくいあくしょく, 衣服や食べ物が粗末であること
口耳講説, こうじこうせつ, 人の話を聞いて、充分に理解しないままにすぐ他の人に話すこと。受け売り
口耳四寸, こうじよんすん, 耳と口との間隔が近いという意味。 聞いたことを、自分では理解できないまま他人に受け売りすること
広大無辺, こうだいむへん, 程度や時間などが、限りなく広くて大きい様子。 主に仏教用語として使われることが多い
口中雌黄, こうちゅうしおう, 自分が発した言葉の誤りを訂正すること。 「雌黄」は、古代中国で使われていた、誤字を塗り消すのに用いた顔料
口頭試問, こうとうしもん, 質問に口頭で答えさせて、学力や人柄を考査する試験。口述試験
交頭接耳, こうとうせつじ, 他の人に聞こえないように小さな声で話をすること。内緒話
黄道吉日, こうどうきちにち, 陰陽道おんようどうの用語で、何事を行うにも吉であり、あらゆる凶悪を避けるとされる日
行動半径, こうどうはんけい, 車、船、飛行機などが、燃料の補給なしで往復できる、片道の距離。航続距離の二分の一を半径とする円のこと
黄髪番番, こうはつはは, 白髪に黄色が混じるほどに歳を重ねた老人のこと
公明正大, こうめいせいだい, 私心がなく、正しく立派であること。 不正や隠し事がないこと
高陽酒徒, こうようのしゅと, 「高陽」は、今の中国の河南省にあった地名。 「酒徒」は酒飲みのこと
古往今来, こおうこんらい, 昔から今まで。 「古往」は昔から
国色天香, こくしょくてんこう, 牡丹の花の別称。国内で最も美しい女性の喩え
黒風白雨, こくふうはくう, 塵や埃を巻き上げる強い風と激しい雨。暴風雨
国利民福, こくりみんぷく, 国家の利益と国民の幸福のこと。 国家、国民のために有益であるような事柄
古今東西, ここんとうざい, 昔から今まで、あらゆる時代のあらゆる場所。 「いつでも、どこでも」という意味
古今独歩, ここんどっぽ, 昔から今に至るまで、匹敵するものがないほど優れていること。 「古今」は昔から今まで
古色古香, こしょくここう, 書画などが古くなり、独特の墨の色と香りを漂わせている様子。優雅な趣のあること
小春日和, こはるびより, 晩秋から初冬にかけての、春のように暖かい晴れた日のこと。 冬の季語
困知勉行, こんちべんこう, 苦しんで学び、努力して物事を実行すること
金輪奈落, こんりんならく, 物事の極限状態。地下の最深部
極楽往生, ごくらくおうじょう, 安らかに死ぬこと。 または死んだ後に極楽浄土に生まれ変わること
五色霜林, ごしきそうりん, 色鮮やかで美しい紅葉の風景。 晩秋の風景の代名詞
五趣生死, ごしゅしょうじ, 仏教用語。全ての生き物が、自らの作った因果によって五つの世界に輪廻転生し、生まれたり死んだりを繰り返すこと
後生大事, ごしょうだいじ, 何かを非常に大切にすること。 もとは仏教用語で、来世の安楽を一途に願って善行を積むこと
五十音順, ごじゅうおんじゅん, 日本語の仮名文字の順序を決める規則。「あいうえお順」とも呼ばれる
五十知命, ごじゅうちめい, 五十歳になって、自分の天命を悟ること。 孔子が自身の人生を振り返って語った言葉が由来
牛頭馬頭, ごずめず, 仏教において、地獄の罪人を取り締まる鬼を意味する
五体投地, ごたいとうち, 両肘両膝と頭を地面に投げ伏して礼拝すること
五風十雨, ごふうじゅうう, 五日に一度風が吹き、十日に一度雨が降るという意味。 気候が穏やかで順調なこと
五分五分, ごぶごぶ, 力関係などに差がないこと。双方とも優劣がないこと
五里霧中, ごりむちゅう, 物事の手がかりが掴めない状態。 方針や見込みが立たず困ること
言語道断, ごんごどうだん, 言葉も出ないほど酷いこと。とんでもないこと
歳寒三友, さいかんさんゆう, 宋代より始まった、中国の文人画で好まれる画題のひとつであり、具体的には松・竹・梅の三つを指す
再三再四, さいさんさんし, たびたび。何度も何度もくり返し
才子佳人, さいしかじん, 才能のある、理想的な男女のこと。 男女のカップルを指して使う
才子多病, さいしたびょう, 才知の優れた人は、体が弱く病気がちであるということ。 「才子」は頭のはたらきが優れている人のこと
造酒童女, さかつこ, 日本の天皇が皇位継承に際して行う宮中祭祀「大嘗祭だいじょうさい」のときに、儀式の先導役を務め、神に供える御神酒おみき...
作文三上, さくぶんさんじょう, 文章を創作するのに適した三つの場所
察言観色, さつげんかんしき, 人の言葉を慎重に聞き、顔つきをよく観察して、相手の性格や考え方を見抜くこと。 人に欺かれない聡明さのこと
